		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 12.191406	M = 6250	N = 8	m = 9	n = 50000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    5   12   14   16    9   11   14   13  7.207315 0.514439 SUCCESS   0
000000011    5    9   10    7   10   11   14   10  9.146916 0.330054 SUCCESS   1
000000101   10   13   14   12   12   17   10   13  3.167253 0.923427 SUCCESS   2
000000111   11   14   10    6   14    7   14   17  8.849687 0.355135 SUCCESS   3
000001001   13   11    5   14   11   15   10   14  6.307685 0.612809 SUCCESS   4
000001011   15   15   13    9   11   15    6   18  9.150888 0.329728 SUCCESS   5
000001101   10   10   12    7   11   15   11   17  5.968751 0.650732 SUCCESS   6
000001111   12   17   11   12   15    8   13   16  5.527211 0.700023 SUCCESS   7
000010001   12   11   13   11   15   11   16    5  6.698915 0.569438 SUCCESS   8
000010011   11    8   10   12   16   13   15   21 10.546341 0.228752 SUCCESS   9
000010101    4    9   19   14   11   11    7    7 15.561500 0.049104 SUCCESS  10
000010111   17   16   21   12   13   17    7   20 19.230854 0.013673 SUCCESS  11
000011001   14    6   21   12   10   17   19   18 19.256010 0.013549 SUCCESS  12
000011011   16   11   17    8   13   10    9   21 12.697114 0.122705 SUCCESS  13
000011101   13    9   12    6   11    5    9    9 10.398058 0.238191 SUCCESS  14
000011111   14   14   11   12   14   11   14   14  1.629474 0.990344 SUCCESS  15
000100011   11   11   13   10   12   16   11   11  2.175607 0.975149 SUCCESS  16
000100101    8   19    9   11   16   11   13   22 15.956702 0.043004 SUCCESS  17
000100111   14   11    3    9   18   13   13   18 14.247471 0.075539 SUCCESS  18
000101001   13   11   16    8   11   19    8    6 11.678327 0.166143 SUCCESS  19
000101011    4   10   19   16   14   16   10   13 13.218092 0.104563 SUCCESS  20
